k,n,true_jaccard,fast_avg_error,datasketch_avg_error,cmins_avg_error,fast_avg_time,datasketch_avg_time,cmins_avg_time,fast_speedup_vs_datasketch,fast_speedup_vs_cmins,datasketch_speedup_vs_cmins
256,1250,0.4997000599880024,0.027433872600479903,0.026628627399520096,0.09183286780143969,9.145197458565235e-05,0.01388838404789567,0.0005793199501931668,0.006584781517437149,0.1578609101156604,23.97359877432974
256,2500,0.4997000599880024,0.03057087020095981,0.02942912979904019,0.16385268258848246,0.00012352610006928445,0.02570429396815598,0.0011218320671468973,0.004805660105751825,0.11011104396707304,22.91278233250053
256,5000,0.4999250037498125,0.02913462529998502,0.023287249700014997,0.14274650329983493,0.00022554398514330388,0.04944622197188437,0.002241728017106652,0.004561399762181032,0.10061166360154986,22.057190522025724
256,10000,0.4999250037498125,0.025546875,0.030231375149992506,0.04501812799985006,0.00037802205421030524,0.09714895798824727,0.00424726995639503,0.0038911591234569594,0.08900353829431655,22.873271297947998
256,20000,0.49998125023437207,0.0285982499437507,0.02765999995312558,0.03736099978437766,0.0008016459550708533,0.19202510198578238,0.008472076002508402,0.004174693551940972,0.09462213922933445,22.665649119404478
512,100,0.4925373134328358,0.014271805037313432,0.019949860074626864,0.2956267490671643,6.462400779128075e-05,0.004644792033359408,0.0001335360109806061,0.013913218789376144,0.48394442305653657,34.783067123623965
512,1250,0.4997000599880024,0.016346261997600475,0.017160435100479904,0.0893359375,0.00011476000770926475,0.018482756055891513,0.0009445319604128599,0.006209031129461029,0.12149933778747153,19.56816373668563
512,2500,0.4997000599880024,0.015105189899520095,0.019050502399520094,0.15955580758848245,0.00015945406630635262,0.033469382002949716,0.0018185439798980951,0.004764177190134543,0.08768227112950432,18.40449412987264
512,5000,0.4999250037498125,0.015231375149992501,0.016219937050022497,0.14509025329983494,0.00024670601822435857,0.06328487400896847,0.00360372600145638,0.0038983409872854675,0.06845859483341876,17.560956072518568
512,10000,0.4999250037498125,0.016956124850007498,0.021036688399955004,0.04427594049985007,0.0004027340561151505,0.123277029953897,0.007034313939511776,0.0032669026522277873,0.057252783935756876,17.525096407973678
512,20000,0.49998125023437207,0.017499999999999995,0.01882962498125023,0.03564299977500278,0.0008555739745497704,0.2439492000080645,0.014061774015426637,0.0035071808988161746,0.06084395707192797,17.34839428797797
