k,n,true_jaccard,fast_avg_error,kmins_avg_error,datasketch_avg_error,cmins_avg_error,fast_avg_time,kmins_avg_time,datasketch_avg_time,cmins_avg_time,fast_speedup_vs_kmins,fast_speedup_vs_datasketch,fast_speedup_vs_cmins,kmins_speedup_vs_cmins,datasketch_speedup_vs_cmins
128,2500,0.4997000599880024,0.03636997600479905,0.03502399520095981,0.03828125,0.03426674040191962,0.001700107993092388,0.17193366600433366,0.03924363198922947,0.022754652008879928,0.009888162293064443,0.0433218819695126,0.0747147437117002,7.555978704365029,1.7246421511484673
128,5000,0.4999250037498125,0.031866000449977505,0.0362529998500075,0.0323527495500225,0.032331750599970004,0.0034993819962255658,0.3609947139932774,0.07912150000687689,0.04890017800498754,0.009693720878945426,0.04422795315965212,0.07156174351489372,7.3822781167884095,1.618020695114994
128,10000,0.4999250037498125,0.03829624925003748,0.039693499700015004,0.03720849895005248,0.037971749850007494,0.006478092002216726,0.6956793780182489,0.151767566006165,0.09360306801274419,0.00931189310321456,0.0426842979214253,0.06920811614139319,7.432228374432461,1.6213952088141133
128,20000,0.49998125023437207,0.02828274998125023,0.032972499953125574,0.03656699994375069,0.03015550000937488,0.014116432000882924,1.5687456059991383,0.3145800939900801,0.20078187400009484,0.008998547595543466,0.044873888305622,0.07030730274425198,7.813183405183265,1.5667753653396594
256,100,0.4925373134328358,0.016953125,0.025496735074626863,0.0287336753731343,0.039018190298507435,0.0011010119970887898,0.014141138021368533,0.003974797993432731,0.0009648219938389957,0.07785879717919884,0.27699822705654775,1.1411555749345001,14.656732652933625,4.119721584721693
256,1250,0.4997000599880024,0.023972377399520094,0.023996372600479904,0.026628627399520096,0.020216238002399526,0.0015472079999744892,0.17547490199794993,0.022630355996079744,0.011884631987195462,0.00881726094363378,0.06836869911558227,0.13018560453882422,14.764857859040744,1.9041696890961164
256,2500,0.4997000599880024,0.02468136060287943,0.023900391796640667,0.02942912979904019,0.02299274520095981,0.0019866940029896795,0.3546763079916127,0.044039745994377884,0.024563136014621706,0.005601428565216317,0.04511138650171372,0.08088112209316675,14.439374018874643,1.7929203326546874
256,5000,0.4999250037498125,0.022803500449977507,0.02061000074996251,0.023287249700014997,0.020228375299985002,0.0035575499897822736,0.7170130039937794,0.08604033398907632,0.0502777799917385,0.004961625479547283,0.041347468388883056,0.07075789723346655,14.26103149565468,1.711299385199868
256,10000,0.4999250037498125,0.025706124850007502,0.026015625000000007,0.030231375149992506,0.02625,0.006614929996430874,1.414886578009464,0.16281835400732234,0.09924623798578977,0.004675236940714429,0.04062766778819902,0.06665169512398052,14.256324539092853,1.640549378109777
256,20000,0.49998125023437207,0.024610124990625114,0.023907749981250226,0.02765999995312558,0.022652500046874417,0.014144405988045037,2.8916436680057087,0.3237522440031171,0.19042706398759038,0.004891476133295519,0.04368898208442643,0.07427728859468626,15.185045693894379,1.70013777046006
512,100,0.4925373134328358,0.011607392723880592,0.018178055037313432,0.019949860074626864,0.038887010261194004,0.002536495996173471,0.028975626002065838,0.006659269996453077,0.001099833990447223,0.08753895415383363,0.3808970048555598,2.306253505715041,26.345454181029215,6.054795591237577
512,1250,0.4997000599880024,0.012986886997600476,0.015910435100479906,0.017160435100479904,0.016057757198560285,0.003187170000746846,0.3537007219996303,0.029108755993656813,0.013120250010397285,0.009010923084149592,0.10949179695076537,0.24291991373801097,26.958382783814052,2.2186129052868093
512,2500,0.4997000599880024,0.015090122600479905,0.016971261997600476,0.019050502399520094,0.014107420703359335,0.0037002239935100077,0.6972997200093232,0.05246259000618011,0.025321457991376518,0.005306504344301952,0.07053071518341203,0.14612997382576298,27.537897709002213,2.0718629244827365
512,5000,0.4999250037498125,0.015378625599970004,0.0165985626499925,0.016219937050022497,0.012415875299985002,0.00369905999628827,1.3967273120139725,0.09610845397692173,0.04991186399944127,0.0026483766476611045,0.03848839350986247,0.07411183834628333,27.983873974925242,1.925563308515138
512,10000,0.4999250037498125,0.0169951873500075,0.0169891876499925,0.021036688399955004,0.0177704376499925,0.006937289987690747,2.7747916359920053,0.18849829600192605,0.10046616200590507,0.0025001120436239973,0.03680293209451539,0.06905101030218509,27.61916630028041,1.8762366575807559
512,20000,0.49998125023437207,0.017890624999999997,0.01820237500937488,0.01882962498125023,0.017651750056249305,0.014463523980230092,5.756801326007117,0.3764451199956238,0.2056727260001935,0.002512423681340052,0.038421334776230415,0.07032300422865248,27.99010563025114,1.8303113267204403
