k,n,true_jaccard,fast_avg_error,datasketch_avg_error,cmins_avg_error,fast_avg_time,datasketch_avg_time,cmins_avg_time,fast_speedup_vs_datasketch,fast_speedup_vs_cmins,datasketch_speedup_vs_cmins
64,20000,0.49998125023437207,0.046877999962500486,0.047815499962500486,0.04907449985000189,0.013863170002005064,0.29701019400323275,0.005944615998887457,0.04667573801138345,2.332054754184219,49.96288979116879
128,100,0.4925373134328358,0.023736007462686563,0.03513992537313428,0.29683768656716425,0.0005688279983587563,0.003084057998494245,6.569999910425394e-05,0.18444140759884536,8.657960519240339,46.94152268709176
128,1250,0.4997000599880024,0.03424274520095981,0.03140625,0.09352148320335932,0.0011474959983024747,0.026306719995336608,0.0006244419974973425,0.04361988109904585,1.8376342444957958,42.128364364936175
128,2500,0.4997000599880024,0.03636997600479905,0.03828125,0.16314955758848246,0.0022998680005548522,0.049202611998771316,0.0012018219986930489,0.04674280301647978,1.9136511089461672,40.94001611909078
128,5000,0.4999250037498125,0.031866000449977505,0.0323527495500225,0.14586850344982744,0.0034293320006690917,0.08043459999840706,0.0018976720049977303,0.04263503518059401,1.8071257791850037,42.38593381078163
128,10000,0.4999250037498125,0.03829624925003748,0.03720849895005248,0.04619600269986506,0.00664533199975267,0.15408065600146073,0.0034552699996856975,0.04312891814070204,1.9232453615367688,44.5929423794599
128,20000,0.49998125023437207,0.02828274998125023,0.03656699994375069,0.04141899984062697,0.013576740000280552,0.31016671799821777,0.007150746006518602,0.04377239469116272,1.8986466569927152,43.375434914828546
256,100,0.4925373134328358,0.016953125,0.0287336753731343,0.2961345615671643,0.0011229320027632639,0.004169882003334351,9.030400309711695e-05,0.2692958702105568,12.435019093844742,46.176048240628646
256,1250,0.4997000599880024,0.023972377399520094,0.026628627399520096,0.09183286780143969,0.0016161620017373934,0.02410604199860245,0.0007106219982961193,0.06704385572011741,2.2742921069324,33.92245392965918
256,2500,0.4997000599880024,0.02468136060287943,0.02942912979904019,0.16385268258848246,0.0019175419956445694,0.044555645993095826,0.0013554880017181859,0.04303701479138479,1.4146506595513473,32.870557272818424
256,5000,0.4999250037498125,0.022803500449977507,0.023287249700014997,0.14274650329983493,0.0035249499964993447,0.08722497400071007,0.002708014002419077,0.040412164484802816,1.3016734748603576,32.20994201757884
256,10000,0.4999250037498125,0.025706124850007502,0.030231375149992506,0.04501812799985006,0.006948099998407997,0.16868449000408872,0.0052182740019634365,0.04118991614605221,1.331493899284264,32.32572493138904
256,20000,0.49998125023437207,0.024610124990625114,0.02765999995312558,0.03736099978437766,0.014680027999565937,0.34813632000237704,0.010632936002803035,0.04216747048818607,1.3806184854019639,32.74131621883194
512,100,0.4925373134328358,0.011607392723880592,0.019949860074626864,0.2956267490671643,0.0027193820028332994,0.006800713999546133,0.00016532599984202533,0.3998671320415453,16.448604608057792,41.135175387080366
512,1250,0.4997000599880024,0.012986886997600476,0.017160435100479904,0.0893359375,0.003181635997025296,0.03084744799765758,0.0011564079992240294,0.1031409793531995,2.7513092257751857,26.675228827850358
512,2500,0.4997000599880024,0.015090122600479905,0.019050502399520094,0.15955580758848245,0.004035626004915685,0.05842954599822406,0.0022661660017911345,0.06906824169125575,1.7808165870134856,25.783435967198542
512,5000,0.4999250037498125,0.015378625599970004,0.016219937050022497,0.14509025329983494,0.004210603998508304,0.11373543600086122,0.004534278002101928,0.03702103888252049,0.928616197894443,25.083472153259585
512,10000,0.4999250037498125,0.0169951873500075,0.021036688399955004,0.04427594049985007,0.008451011997531168,0.23288302600500174,0.00895641600014642,0.0362886559080938,0.9435707315730992,26.001809875869384
512,20000,0.49998125023437207,0.017890624999999997,0.01882962498125023,0.03564299977500278,0.015179133999627083,0.41016002799908163,0.016640483998926356,0.03700783343924745,0.9121810399629267,24.648323211364836
